name,state,pop2000,pop2010,pop2017,pop_change,poverty,homeownership,multi_unit,unemployment_rate,metro,median_edu,per_capita_income,median_hh_income,smoking_ban
Martin County,North Carolina,25593,24505,22789,-3.47,19.2,70,7.1,5.76,no,hs_diploma,21705.83,35969,none
Mecklenburg County,North Carolina,695454,919628,1076837,8.59,13.4,62.6,30.3,4.31,yes,some_college,34939.53,61695,none
Mitchell County,North Carolina,15687,15579,15072,-1.55,15.4,75,8.6,5.32,no,hs_diploma,21669.4,42534,NA
Montgomery County,North Carolina,26822,27798,27435,-0.17,20.9,74.7,4.2,4.64,no,hs_diploma,21720.99,38254,none
Moore County,North Carolina,74769,88247,97264,6.4,13.3,76.3,11.2,4.52,no,some_college,31030.86,54468,none
Nash County,North Carolina,87420,95840,93991,-0.48,15.9,63.7,14.7,6.13,yes,some_college,25196.8,46187,none
New Hanover County,North Carolina,160307,202667,227198,6.64,18,61.4,26.7,4.2,yes,some_college,31839.66,51457,none
Northampton County,North Carolina,22086,22099,19862,-4.84,25.4,74.8,4,6.35,no,hs_diploma,20013.96,33508,none
Onslow County,North Carolina,150355,177772,193893,0.79,14.1,56.6,12.3,5.08,yes,some_college,21917.58,48162,none
Orange County,North Carolina,118227,133801,144946,3.96,14,60.6,29.4,3.82,yes,bachelors,40317.86,65522,none
Pamlico County,North Carolina,12934,13144,12689,-1.57,15.1,81.6,2,4.8,yes,some_college,26635.11,45211,none
Pasquotank County,North Carolina,34897,40661,39743,0.48,18.1,66.4,15.4,5.58,no,some_college,24071.26,47264,none
Pender County,North Carolina,41082,52217,60958,11.18,15.8,80.6,6.3,4.73,yes,some_college,25171.27,49357,none
Perquimans County,North Carolina,11368,13453,13474,-1.15,18.8,77.2,3.7,5.78,no,some_college,25772.37,44039,none
Person County,North Carolina,35623,39464,39370,0.33,18.1,73.9,5.8,4.67,yes,hs_diploma,23899.19,44921,none
Pitt County,North Carolina,133798,168148,179042,2.64,24.3,55.3,34.8,4.93,yes,some_college,25548.99,43526,none
Polk County,North Carolina,18324,20510,20558,0.78,10.9,77.9,10.1,4.22,no,some_college,29174.78,48412,none
Randolph County,North Carolina,130454,141752,143282,0.64,16.7,73.6,10.1,4.42,yes,hs_diploma,22192.91,43598,none
Richmond County,North Carolina,46564,46639,44798,-2.94,26.1,70.7,8.4,6.13,no,hs_diploma,19800.83,33607,NA
Robeson County,North Carolina,123339,134168,132606,-1.93,29.2,67.2,8.6,6.65,no,hs_diploma,16225.35,32407,none
Rockingham County,North Carolina,91928,93643,90949,-1.08,18.5,72.1,9.6,5.23,yes,hs_diploma,22179.34,41700,none
Rowan County,North Carolina,130340,138428,140644,2.08,16.8,71.4,11.3,4.71,yes,some_college,23472.69,46978,none
Rutherford County,North Carolina,62899,67810,66551,-0.42,19.6,71.8,7.1,6.15,no,hs_diploma,20544.53,38573,none
Sampson County,North Carolina,60161,63431,63430,-0.83,24.3,68.5,5.7,4.81,no,hs_diploma,20080.22,37765,none
Scotland County,North Carolina,35998,36157,35093,-2.27,29.8,64.7,12.1,7.85,no,hs_diploma,17585.89,32739,none
Stanly County,North Carolina,58100,60585,61482,1.34,15.7,76.9,7.3,4.15,no,some_college,23689.84,46017,none
Stokes County,North Carolina,44711,47401,45717,-1.74,13.9,81.8,4.4,4.3,yes,hs_diploma,23018.99,44490,none
Surry County,North Carolina,71219,73673,72224,-0.68,17.6,74.3,7.5,4.26,no,hs_diploma,22511.48,39071,none
Swain County,North Carolina,12968,13981,14294,2.24,20.9,77.5,7.2,5.1,no,hs_diploma,20089.8,35271,none
Transylvania County,North Carolina,29334,33090,33956,3.36,15.5,76.6,5.7,4.36,no,some_college,26343.61,44559,none
Tyrrell County,North Carolina,4149,4407,4052,-1.22,26.8,76.5,9,7.63,no,hs_diploma,18774.34,32411,none
Union County,North Carolina,123677,201292,231366,8.94,9.4,82,6.4,4,yes,some_college,32472.48,70858,none
Vance County,North Carolina,42954,45422,44211,-0.65,23,65.2,9.6,6.27,no,hs_diploma,20341.02,35246,none
Wake County,North Carolina,627846,900993,1072203,9.98,10.1,66.2,26.7,3.92,yes,bachelors,37277.86,73577,none
Warren County,North Carolina,19972,20972,19883,-3.46,22.3,75.3,3.3,6.94,no,hs_diploma,21495.32,35443,none
Washington County,North Carolina,13723,13228,12012,-5.46,24.1,70.4,6.9,6.76,no,hs_diploma,19549.36,34557,none
Watauga County,North Carolina,42695,51079,55121,5.3,28.3,54.1,28.1,4.11,no,some_college,26269.79,41541,none
Wayne County,North Carolina,113329,122623,124172,-0.44,21.2,64.3,12.1,5.12,yes,some_college,22710.2,41766,none
Wilkes County,North Carolina,65632,69340,68576,-0.1,20.9,74.3,7.6,4.3,no,hs_diploma,21595.9,37173,none
Wilson County,North Carolina,73814,81234,81671,0.48,20.6,61.8,20,7.31,no,hs_diploma,23215.66,42095,none
Yadkin County,North Carolina,36348,38406,37774,-0.8,17.3,78.2,3.6,4.02,yes,hs_diploma,22775.21,41126,none
Yancey County,North Carolina,17774,17818,17744,1.09,19.6,78.3,8.1,4.6,no,hs_diploma,21626.18,37610,none
